lambda,n,mean_usd,mean_latency_ms,mean_iterations,mean_coverage,exact_match,f1,abstention_rate,iteration_dist,max_bucket_share,stage
1.0,50,0.001071057,23122.3136,2.28,0.835,0.62,0.696019536019536,0.18,1:0|2:37|3:12|4:1|5:0,0.74,coarse
3.0,50,0.001071057,23122.3136,2.28,0.835,0.62,0.696019536019536,0.18,1:0|2:37|3:12|4:1|5:0,0.74,coarse
10.0,50,0.001071057,23122.3136,2.28,0.835,0.62,0.696019536019536,0.18,1:0|2:37|3:12|4:1|5:0,0.74,coarse
30.0,50,0.001071057,23122.3136,2.28,0.835,0.62,0.696019536019536,0.18,1:0|2:37|3:12|4:1|5:0,0.74,coarse
100.0,50,0.001061957,22982.3662,2.26,0.836,0.62,0.696019536019536,0.18,1:0|2:38|3:11|4:1|5:0,0.76,coarse
300.0,50,0.001061957,22982.3662,2.26,0.836,0.62,0.696019536019536,0.18,1:0|2:38|3:11|4:1|5:0,0.76,coarse
1000.0,50,0.000943384,21745.7294,2.04,0.8642,0.62,0.696019536019536,0.12,1:0|2:48|3:2|4:0|5:0,0.96,coarse
3000.0,50,0.000662085,12132.9242,1.48,0.767,0.54,0.6293528693528694,0.22,1:26|2:24|3:0|4:0|5:0,0.52,coarse
5000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,refine
7000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,refine
10000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,coarse
14000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,refine
20000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,refine
30000.0,50,0.000449819,9521.1316,1,0.745,0.48,0.5673015873015873,0.26,1:50|2:0|3:0|4:0|5:0,1.0,refine
